PSNR,SSIM,UIQM (Generated),UIQM (Ground Truth)
26.08447,0.9653384,4.9614754,4.839658
26.503323,0.98246527,4.961677,4.8399205
21.466824,0.9339947,4.9619794,4.8401933
24.020416,0.96834385,4.961099,4.839474
25.914562,0.9678726,4.9619694,4.840082
20.263765,0.91731375,4.9621496,4.840298
24.751339,0.9625007,4.9614224,4.83961
17.24974,0.69214094,4.961239,4.8397784
20.345928,0.88111866,4.96109,4.8396974
26.93036,0.96448773,4.9611573,4.8395915
25.972813,0.94455934,4.961997,4.84013
25.915854,0.98252445,4.9621215,4.8402214
15.301775,0.81899345,4.961274,4.840614
22.433699,0.9394902,4.961356,4.83959
25.29634,0.9768315,4.9619174,4.840009
25.73062,0.9878238,4.961053,4.8393326
20.645653,0.9233649,4.9612007,4.8396597
18.850662,0.90217,4.961369,4.8396554
21.673536,0.9304947,4.961074,4.839639
25.446877,0.97626305,4.961396,4.8396482
24.129673,0.9557941,4.9616218,4.8398814
22.318258,0.94707006,4.9616137,4.839729
23.73299,0.9615952,4.961085,4.839508
20.01595,0.87171435,4.961144,4.839422
23.794773,0.95955014,4.961973,4.8403106
24.690008,0.9735378,4.961136,4.839468
24.309143,0.96943593,4.9611473,4.839739
25.45593,0.96364117,4.9611053,4.8395853
23.671358,0.96955925,4.961186,4.8394227
23.290016,0.9555751,4.9617686,4.8401623
22.058556,0.95852333,4.961559,4.839934
23.606083,0.960526,4.961265,4.8394203
23.523182,0.9611225,4.961205,4.8393393
25.646156,0.97349817,4.962247,4.840421
23.218529,0.94867855,4.9613953,4.8396273
27.410242,0.94053334,4.9614086,4.8396163
18.329763,0.9212184,4.9614773,4.839564
22.139902,0.9557434,4.9619627,4.84019
18.267431,0.7860327,4.9611044,4.839639
22.990345,0.95346826,4.9612603,4.839627
22.960052,0.9684906,4.961409,4.8397255
24.96298,0.9507058,4.9618263,4.839984
23.906391,0.9469337,4.961782,4.8399825
25.741804,0.957818,4.9613194,4.839572
22.02491,0.936041,4.961867,4.8400397
20.318455,0.9046593,4.9614916,4.8397727
22.06102,0.95375,4.961069,4.8396974
26.92024,0.98855793,4.961109,4.839513
19.076458,0.89414704,4.9611187,4.8402395
